run number,ridf events,run type,Ion Chamber,PPAC,Plastic,NEULAND,NEULANDVETO,SAMURAIBDC1,SAMURAIBDC2,Custom TOF,DC TPF,PLAcut,Placekeeper
1735,0,9,1735,1735,0,,,,,,1931,1735,0
1736,2497,9,1735,1735,0,,,,,,1931,1735,0
1737,17403,9,1735,1735,0,,,,,,1931,1735,0
1738,9147,9,1735,1735,0,,,,,,1931,1735,0
1739,5278,9,1735,1735,0,,,,,,1931,1735,0
1740,31454,9,1735,1735,0,,,,,,1931,1735,0
1741,-1,,1735,1735,0,,,,,,1931,1735,0
1742,9911,9,1735,1735,0,,,,,,1931,1735,0
1743,40957,9,1735,1735,0,,,,,,1931,1735,0
1744,13726,9,1735,1735,0,,,,,,1931,1735,0
1745,1214,9,1735,1735,0,,,,,,1931,1735,0
1746,1070,9,1735,1735,0,,,,,,1931,1735,0
1747,5200,9,1735,1735,0,,,,,,1931,1735,0
1748,93223,9,1735,1735,0,,,,,,1931,1735,0
1749,6972,9,1735,1735,0,,,,,,1931,1735,0
1750,6981,9,1735,1735,0,,,,,,1931,1735,0
1751,6670,9,1735,1735,0,,,,,,1931,1735,0
1752,366,9,1735,1735,0,,,,,,1931,1735,0
1753,6523,9,1735,1735,0,,,,,,1931,1735,0
1754,6463,9,1735,1735,0,,,,,,1931,1735,0
1755,6352,9,1735,1735,0,,,,,,1931,1735,0
1756,-1,,1735,1735,0,,,,,,1931,1735,0
1757,-1,,1735,1735,0,,,,,,1931,1735,0
1758,6081,9,1735,1735,0,,,,,,1931,1735,0
1759,6521,9,1735,1735,0,,,,,,1931,1735,0
1760,6616,9,1735,1735,0,,,,,,1931,1735,0
1761,7010,9,1735,1735,0,,,,,,1931,1735,0
1762,6921,9,1735,1735,0,,,,,,1931,1735,0
1763,6705,9,1735,1735,0,,,,,,1931,1735,0
1764,6782,9,1735,1735,0,,,,,,1931,1735,0
1765,4908,9,1735,1735,0,,,,,,1931,1735,0
1766,5109,9,1735,1735,0,,,,,,1931,1735,0
1767,3931,9,1735,1735,0,,,,,,1931,1735,0
1768,4163,9,1735,1735,0,,,,,,1931,1735,0
1769,2201,9,1735,1735,0,,,,,,1931,1735,0
1770,3915,9,1735,1735,0,,,,,,1931,1735,0
1771,0,9,1735,1735,0,,,,,,1931,1735,0
1772,2675,9,1735,1735,0,,,,,,1931,1735,0
1773,1226,9,1735,1735,0,,,,,,1931,1735,0
1774,844,9,1735,1735,0,,,,,,1931,1735,0
1775,191,9,1735,1735,0,,,,,,1931,1735,0
1776,3980,9,1735,1735,0,,,,,,1931,1735,0
1777,4421,9,1735,1735,0,,,,,,1931,1735,0
1778,4192,9,1735,1735,0,,,,,,1931,1735,0
1779,4025,9,1735,1735,0,,,,,,1931,1735,0
1780,4497,9,1735,1735,0,,,,,,1931,1735,0
1781,281,9,1735,1735,0,,,,,,1931,1735,0
1782,710,9,1735,1735,0,,,,,,1931,1735,0
1783,68,9,1735,1735,0,,,,,,1931,1735,0
1784,392,9,1735,1735,0,,,,,,1931,1735,0
1785,6783,9,1735,1735,0,,,,,,1931,1735,0
1786,2515,9,1735,1735,0,,,,,,1931,1735,0
1787,0,9,1735,1735,0,,,,,,1931,1735,0
1788,-1,9,1735,1735,0,,,,,,1931,1735,0
1789,-1,9,1735,1735,0,,,,,,1931,1735,0
